frame_index,timestamp_ms,width,height,gap_ms
0,1767,480,640,
1,1872,480,640,105
2,1875,480,640,3
3,1879,480,640,3
4,1882,480,640,2
5,1885,480,640,2
6,1903,480,640,18
7,1937,480,640,33
8,1985,480,640,48
9,2015,480,640,29
10,2051,480,640,35
11,2092,480,640,41
12,2133,480,640,41
13,2172,480,640,39
14,2217,480,640,44
15,2255,480,640,38
16,2300,480,640,44
17,2354,480,640,53
18,2386,480,640,32
19,2435,480,640,49
20,2470,480,640,34
21,2506,480,640,36
22,2556,480,640,49
23,2595,480,640,39
24,2636,480,640,40
25,2686,480,640,50
26,2721,480,640,35
27,2758,480,640,37
28,2801,480,640,42
29,2841,480,640,40
30,2884,480,640,43
31,2925,480,640,40
32,2967,480,640,41
33,3008,480,640,41
34,3053,480,640,44
35,3089,480,640,36
36,3137,480,640,48
37,3189,480,640,51
38,3216,480,640,27
39,3271,480,640,54
40,3304,480,640,33
41,3356,480,640,51
42,3387,480,640,31
43,3425,480,640,37
44,3475,480,640,50
45,3505,480,640,29
46,3556,480,640,50
47,3597,480,640,41
48,3637,480,640,40
49,3679,480,640,41
50,3726,480,640,47
51,3765,480,640,39
52,3802,480,640,36
53,3843,480,640,40
54,3887,480,640,44
55,3923,480,640,36
56,3971,480,640,47
57,4011,480,640,40
58,4051,480,640,40
59,4096,480,640,44
60,4136,480,640,40
61,4188,480,640,51
62,4223,480,640,34
63,4259,480,640,35
64,4303,480,640,44
65,4354,480,640,51
66,4388,480,640,33
67,4426,480,640,37
68,4473,480,640,46
69,4506,480,640,33
70,4554,480,640,48
71,4593,480,640,39
72,4640,480,640,46
73,4680,480,640,39
74,4722,480,640,41
75,4768,480,640,46
76,4809,480,640,40
77,4850,480,640,41
78,4891,480,640,40
79,4930,480,640,39
80,4971,480,640,40
81,5012,480,640,41
82,5055,480,640,43
83,5093,480,640,37
84,5136,480,640,42
85,5178,480,640,42
86,5216,480,640,37
87,5262,480,640,45
88,5305,480,640,43
89,5343,480,640,38
90,5400,480,640,56
91,5428,480,640,28
92,5474,480,640,45
93,5509,480,640,35
94,5555,480,640,46
95,5597,480,640,41
96,5640,480,640,43
97,5684,480,640,44
98,5724,480,640,40
99,5759,480,640,35
100,5807,480,640,47
101,5845,480,640,37
102,5886,480,640,40
103,5924,480,640,38
104,5971,480,640,46
105,6010,480,640,38
106,6055,480,640,44
107,6091,480,640,35
108,6136,480,640,44
109,6190,480,640,54
110,6215,480,640,24
111,6261,480,640,45
112,6310,480,640,48
113,6357,480,640,47
114,6395,480,640,38
115,6439,480,640,43
116,6473,480,640,34
117,6512,480,640,39
118,6557,480,640,44
119,6595,480,640,38
120,6641,480,640,46
121,6679,480,640,38
122,6723,480,640,43
123,6762,480,640,39
124,6807,480,640,44
125,6845,480,640,38
126,6883,480,640,37
127,6928,480,640,44
128,6969,480,640,41
129,7011,480,640,42
130,7053,480,640,41
131,7091,480,640,38
132,7139,480,640,48
133,7180,480,640,40
134,7227,480,640,47
135,7260,480,640,32
136,7302,480,640,42
137,7350,480,640,47
138,7388,480,640,38
139,7428,480,640,39
140,7475,480,640,47
141,7510,480,640,34
142,7549,480,640,39
143,7589,480,640,39
144,7638,480,640,48
145,7676,480,640,38
146,7720,480,640,43
147,7764,480,640,43
148,7803,480,640,39
149,7849,480,640,46
150,7901,480,640,52
151,7925,480,640,23
